l3_miss_rate,ipc,branch_miss_rate,l1_misses,l2_misses,instructions,cycles,phase
0.03871702585598813,0.6699343252472579,0.04100392892278729,981,461,1220159.9610845435,634997.5036888006,SparseRandom
0.0327751585888189,0.7206156443061695,0.030261851491857984,947,507,906950.9141661838,748151.9515091496,SparseRandom
0.026681351381780207,0.6569223422279846,0.03252033979934877,980,481,1003759.2383970984,777667.5805968676,SparseRandom
0.006835723894109552,2.0500586884826775,0.035111549302473476,935,494,946881.4733475177,1191028.8744724654,DenseSequential
0.006735327188135199,1.287476848235877,0.07191692188585355,932,503,935294.1876877598,903118.4596817042,PointerChasing
0.018748021722622764,0.7429965634909096,0.014725386438812958,950,500,1066825.249467647,457507.93137091544,SparseRandom
0.03347397486434762,1.0662354271131775,0.026528385175815503,1002,469,929063.9280138484,1050948.4554267428,SparseRandom
0.01463263472717891,0.7463611529989036,0.09387966480654074,985,515,897950.0420542939,641447.5243916963,PointerChasing
0.005240591263423798,1.7031960483473594,0.028113965544915923,1015,519,914203.856525516,504186.6460034273,DenseSequential
0.009840010543173804,1.2975068322046734,0.04664433078905045,1026,527,849672.7457961427,611080.5852628464,PointerChasing
0.02360982144066088,0.7391464157101165,0.05377712356426048,1005,507,897594.0971481439,539400.7906153712,PointerChasing
0.0036461559993880826,1.9482090558848217,0.013418835109247435,1022,501,1318835.5912408023,899380.405009792,DenseSequential
0.004508513871828112,1.4812819415559362,0.009103669626576117,1015,503,1237415.5357483511,1040014.6770230718,DenseSequential
0.020051436475324588,0.6457406873704719,0.017701168847134595,1006,492,837483.0971489466,989607.5255760747,SparseRandom
0.006291416900669479,1.0742090586290436,0.06851870572863925,1018,488,1046185.3528079311,727857.090546736,PointerChasing
0.005737346617745802,2.009086321353221,0.01954487754698758,1032,499,1092254.4168635663,704473.2178594415,DenseSequential
0.04137776780668662,1.0049277192965511,0.011462677587808764,971,498,1090552.5175696132,729639.4073084273,SparseRandom
0.0019696178756028956,1.7597948499981246,0.012140139673650177,1070,513,1141491.5421728762,991678.498254577,DenseSequential
0.02040790364182391,0.8580943236965889,0.11076789968876558,964,512,1233267.9423122504,565438.8368492931,PointerChasing
0.017464749052334846,0.9283118533791589,0.09993914963045239,1006,509,996892.3682526959,459866.2485186046,PointerChasing
0.0020429560192651453,1.7482118100177542,0.011775800676177995,962,517,878301.2192537596,477062.97263637267,DenseSequential
0.0037546009603588127,1.154132822114255,0.03422369861698508,973,541,1366779.309204875,928002.3466010219,DenseSequential
0.005498767367421511,1.9914153304322273,0.012690437242845267,996,505,643874.8654185021,828211.0035487659,DenseSequential
0.018385749870666466,0.7984616043233227,0.0342154547163187,958,487,824843.7449894489,775005.9337918408,PointerChasing
0.020641687702094343,0.6273648882534367,0.029701962181485592,997,528,785948.9119971168,831488.9078619496,SparseRandom
0.010199947389060857,0.9689218641188221,0.07100267398579664,1003,516,927299.9511268989,919014.4489553717,PointerChasing
0.016643834257205288,0.4141775325666708,0.09754724418412951,1040,493,1312388.1474373564,696420.7961267739,PointerChasing
0.03163334680677538,0.6746671945304673,0.03408096058569944,1051,486,677396.6372846062,656232.5928117789,SparseRandom
0.0067991997508665015,2.075722944896331,0.024183982208886838,1018,519,965430.8650371778,828668.6350754588,DenseSequential
0.03656929066342088,0.6575096594573887,0.04348693198645512,1007,481,1071748.2776216606,767004.4869990455,SparseRandom
0.04697623779709341,0.9037074855300788,0.01828066070776805,1043,491,1259199.534127958,754390.2112901363,SparseRandom
0.04414110390606782,0.9060877571273582,0.04777294768030453,974,521,1295222.9749131529,624343.8440507276,SparseRandom
0.005373533528954156,2.092559288934729,0.02241321934916781,936,537,983481.484929742,670357.2107089197,DenseSequential
0.020664211058564474,0.6153326410237228,0.06161682683051996,955,499,926303.0172846597,684097.3064938954,PointerChasing
0.004013998130682334,2.5,0.029788580507817956,967,466,1111427.5236806963,842576.6850954106,DenseSequential
0.0023293112825797974,1.7750683282113917,0.013502347731517329,955,481,610694.9427282272,672353.7378977652,DenseSequential
0.022294095679282346,0.6480874542260517,0.06435626511995803,996,495,1063825.4686138076,876981.6575631278,PointerChasing
0.003363558633533055,1.7788503665822726,0.024577728661518857,1002,524,1004467.8478637215,649905.5941275139,DenseSequential
0.00662572423767792,1.880217694221571,0.026504500925361392,991,506,1088463.3736328972,770958.5733446737,DenseSequential
0.0261718251901325,0.4962389604818572,0.04435856464085898,973,520,846208.0174650415,715257.271001717,SparseRandom
0.005346361851702364,1.3221018799404993,0.021897061676103956,1019,498,838481.7319803408,607160.1328920842,DenseSequential
0.0026075867518386584,1.2780858663665702,0.01896778247067504,1025,538,1265633.2107914665,700874.8646284782,DenseSequential
0.008662917531708707,1.8409605993248213,0.013499760655931017,1016,472,735688.8426977898,890109.9522718388,DenseSequential
0.005695163410723342,2.0424173394843437,0.03341475915530881,1010,487,1490473.9825737448,840321.8534618232,DenseSequential
0.03910944403839475,0.7246838267001922,0.03489211824664301,991,512,825497.7446788728,896560.1001788165,SparseRandom
0.013162674323859511,0.492041355094353,0.045623545093732294,967,530,1108704.8665100057,772917.4563671391,SparseRandom
0.009199898090283556,0.9269814232676256,0.06667040146073037,979,475,1035916.1778638274,991504.1299009473,PointerChasing
